Month,LPG (ML),Automotive gasoline (ML),Aviation turbine fuel (ML),Diesel oil (ML),Fuel oil (ML),Other products (ML)
Jan 2020,49.2,915.6,307.1,812.7,73.0,339.7
Feb 2020,64.2,873.1,286.2,722.3,73.4,297.8
Mar 2020,69.7,897.3,231.6,830.2,61.9,281.1
Apr 2020,41.9,667.5,82.1,770.5,38.9,278.1
May 2020,25.9,567.5,65.6,517.5,61.4,274.9
Jun 2020,31.2,612.2,22.0,584.6,71.1,332.0
Jul 2020,33.0,619.3,45.5,624.4,33.1,348.7
Aug 2020,31.7,556.4,29.5,546.6,42.3,326.4
Sep 2020,26.0,574.5,51.2,580.9,38.9,293.4
Oct 2020,55.7,813.2,30.9,842.0,47.0,260.8
Nov 2020,45.3,836.6,85.5,824.9,27.3,257.4
Dec 2020,53.9,939.5,75.8,819.2,59.6,241.4
Jan 2021,59.4,870.3,87.0,802.4,47.9,246.6
Feb 2021,44.9,703.6,101.6,640.5,35.8,201.2
Mar 2021,50.0,699.6,63.5,611.4,34.5,233.9
Apr 2021,37.6,655.1,91.0,634.8,27.4,244.3
May 2021,38.2,733.6,93.2,594.9,33.2,216.5
Jun 2021,52.2,675.8,86.2,637.4,33.3,200.4
Jul 2021,30.2,662.4,81.0,560.7,29.4,235.1
Aug 2021,25.0,569.8,57.0,517.9,31.0,218.9
Sep 2021,28.0,420.6,44.0,434.2,22.7,227.2
Oct 2021,27.5,432.2,45.2,446.2,23.0,230.9
Nov 2021,27.6,433.9,45.3,447.9,23.7,230.6
Dec 2021,31.5,501.5,52.4,517.6,27.0,242.6
Jan 2022,27.5,489.0,51.2,494.2,25.4,205.5
Feb 2022,23.4,397.0,41.6,401.2,21.4,189.5
Mar 2022,28.8,482.0,50.4,487.0,24.9,202.8
Apr 2022,29.3,496.5,52.0,501.7,25.6,205.2
May 2022,28.9,489.0,51.2,494.1,25.4,204.0
Jun 2022,27.5,464.5,48.6,469.4,24.2,200.2
Jul 2022,27.8,492.2,72.1,452.3,24.6,185.4
Aug 2022,23.2,401.3,58.8,368.7,20.5,171.3
Sep 2022,28.8,508.5,74.5,467.3,25.3,187.8
Oct 2022,27.2,475.6,69.7,437.1,23.9,182.6
Nov 2022,28.0,491.7,72.0,452.0,24.6,199.7
Dec 2022,29.5,521.6,76.4,479.5,25.9,189.7
Jan 2023,28.3,497.0,91.8,446.8,25.0,185.3
Feb 2023,26.7,464.2,85.7,417.3,23.5,180.2
Mar 2023,26.5,461.1,85.1,414.5,23.4,179.8
Apr 2023,27.2,486.3,87.7,426.9,24.0,181.8
May 2023,27.6,483.3,89.2,434.5,24.4,183.1
Jun 2023,24.6,424.7,78.4,381.8,21.7,174.4
Jul 2023,27.2,474.3,116.1,369.3,24.0,211.0
Aug 2023,25.1,433.4,106.1,337.4,22.1,202.3
Sep 2023,28.4,497.1,121.7,387.0,25.0,215.9
Oct 2023,27.8,485.7,118.9,378.1,24.5,213.4
Nov 2023,28.3,495.1,121.2,385.4,24.9,215.4
Dec 2023,28.2,493.1,120.7,383.9,24.9,215.0
Jan 2024,26.9,484.9,121.2,343.0,23.7,207.9
Feb 2024,27.3,494.3,123.6,349.7,24.1,209.9
Mar 2024,28.4,516.1,129.0,365.1,25.1,214.6
Apr 2024,27.6,499.6,124.9,353.4,24.4,211.0
May 2024,27.8,502.7,125.7,355.6,24.5,211.7
Jun 2024,27.2,491.7,122.9,347.8,24.0,209.5